exam_board,course_track,subject,paper,also_on_other_paper,spec_ref,topic_name,paraphrase,ht_only,core_practical,include,review_notes
edexcel,triple,chemistry,paper2,no,C9.5,Separate chemistry 2,Addition polymerisation and why the repeating unit matches the monomer.,no,no,yes,
edexcel,triple,chemistry,paper2,no,C9.6,Separate chemistry 2,Condensation polymerisation and the small molecule given off.,yes,no,yes,
edexcel,triple,chemistry,paper2,no,C9.7,Separate chemistry 2,Why the conditions chosen for the Haber process are a compromise between rate and yield.,yes,no,yes,DELETE if this already sits entirely inside combined equilibria.
edexcel,triple,physics,paper1,no,P7,Astronomy,The Solar System stars and evidence for the expansion of the Universe. Not in Combined Science.,no,no,yes,Whole topic is separate-only. Assessed on physics paper 1.
edexcel,triple,physics,paper1,no,P7.1,Astronomy,The main bodies in the Solar System and how orbits are maintained.,no,no,yes,
edexcel,triple,physics,paper1,no,P7.2,Astronomy,How gravitational field strength changes with distance and how that affects orbits.,yes,no,yes,Set ht_only to no if orbits are for all tiers in your PDF.
edexcel,triple,physics,paper1,no,P7.3,Astronomy,The life cycle of stars of different masses.,no,no,yes,
edexcel,triple,physics,paper1,no,P7.4,Astronomy,Red-shift as evidence that galaxies are moving apart.,no,no,yes,
edexcel,triple,physics,paper1,no,P7.5,Astronomy,The Big Bang explanation and the cosmic microwave background as supporting evidence.,no,no,yes,
edexcel,triple,physics,paper2,no,P11,Static electricity,How objects become charged and how that charge is useful or dangerous. Not in Combined Science.,no,no,yes,Whole topic is separate-only. Assessed on physics paper 2.
edexcel,triple,physics,paper2,no,P11.1,Static electricity,Charging by friction and the forces between positive and negative charges.,no,no,yes,
edexcel,triple,physics,paper2,no,P11.2,Static electricity,Electric fields around a charged object.,yes,no,yes,
edexcel,triple,physics,paper2,no,P11.3,Static electricity,Uses of static charge and dangers such as sparks near fuels.,no,no,yes,
edexcel,triple,physics,paper2,no,P4.S1,Waves,How infrared radiation is emitted and absorbed and how that depends on the surface.,no,yes,yes,Separate-only addition inside topic 4. Often the Leslie's cube practical. Move into combined if your 1SC0 PDF includes it.
edexcel,triple,physics,paper2,no,P14.S1,Particle model,How gas pressure and volume are linked at constant temperature.,yes,no,yes,Extra depth beyond the combined gas-pressure row. DELETE if your PDF keeps this in combined higher tier only.
edexcel,triple,physics,paper2,no,P15.S1,Forces and matter,Pressure in a liquid and how it changes with depth.,no,no,yes,Keep only if you dropped fluid pressure from the combined sheet.
